2048	[2048]
CAP32	[Amstrad - CPC (Caprice32)]
MAME	[Arcade (MAME)]
MAME078	[Arcade (MAME 0.78)]
MAME2000	[Arcade (MAME 2000)]
MAME2003	[Arcade (MAME 2003)]
MAMEPLUS	[Arcade (MAME 2003 Plus)]
FBA	[Arcade (FB Alpha)]
FBA2012	[Arcade (FBA 2012)]
FBNEO	[Arcade (FinalBurn Neo)]
ATARI	[Atari]
ATARI2600	[Atari 2600]
STELLA	[Atari 2600 (Stella 2014)]
ATARI5200	[Atari 5200]
ATARI7800	[Atari 7800]
JAGUAR	[Atari Jaguar]
LYNX	[Atari Lynx]
HANDY	[Atari Lynx (HANDY)]
HATARI	[Atari ST (HATARI)]
BOMBER	[Bomberman (Mr.Boom)]
NXENGINE	[Cave Story (NXEngine)]
AMIGA	[Commodore AMIGA]
VICE	[Commodore 64, 128 & VIC-20]
DOSBOX	[DOSBox]
GW	[Handheld Electronic (GW)]
DOOM	[iD Software - Doom]
QUAKE	[iD Software - Quake]
QUAKE2	[iD Software - Quake2]
JAVAME	[Java ME (SquirrelJME)]
LUA	[LUA]
O2EM	[Magnavox Odyssey²]
INTV	[Mattel IntelliVision]
BMSX	[MSX/SVI/ColecoVision/SG-1000 (blueMSX)]
FMSX	[MSX (fMSX)]
NEOCD	[Neo Geo CD (NeoCD)]
PCE	[NEC PC Engine]
PCFX	[NEC PC Engine FX]
SGX	[NEC PC Engine SuperGrafx (Beetle SGX)]
NGP	[Neogeo Pocket]
NES	[Nintendo NES]
FCEUMM	[Nintendo NES (FCEUMM)]
NESTOPIA	[Nintendo NES (Nestopia)]
QNES	[Nintendo NES (QNES)]
GB	[Nintendo Gameboy]
GBC	[Nintendo Gameboy Color]
GAMBATTE	[Nintendo Gameboy (GAMBATTE)]
TGBDUAL	[Nintendo Gameboy (TGBDUAL)]
GBA	[Nintendo Gameboy Advance]
GPSP	[Nintendo Gameboy Advance]
VBOY	[Nintendo Gameboy Advance (VBoy)]
VBA	[Nintendo Gameboy Advance (VBA)]
MGBA	[Nintendo Gameboy Advance (mGBA)]
PALM	[Palm OS (Mu)]
POKEMINI	[Portable Pokémon Mini]
GENESIS	[SEGA Genesis]
GEN	[SEGA Genesis (GEN)]
MEGAD	[SEGA Megadrive]
PICO	[SEGA - MS/MD/CD/32X (PicoDrive)]
GG	[SEGA Game Gear]
GEARBOY	[SEGA Game Gear (GEARBOY)]
ZX81	[Sinclair ZX81]
FUSE	[Sinclair ZX81 (FUSE)]
SNES	[Super Nintendo]
MSNES	[Super Nintendo (MSNES)]
SNES9X	[Super Nintendo (SNES9X)]
SNES9X2005	[Super Nintendo (SNES9X 2005)]
SNES9X2010	[Super Nintendo (SNES9X 2010)]
SNES9X_NEXT	[Super Nintendo (SNES9X_NEXT)]
THEODORE	[Thomson MO/TO (THEODORE)]
UZEM	[Uzebox (Uzem)]
VECX	[Vectrex]
WSWAM	[WonderSwan]
